#hg19.refGene.name	hg19.knownToEnsembl.value
NM_001308203	n/a
NM_001350217	n/a
NM_001350218	n/a
NM_032291	ENST00000371037,ENST00000371039,ENST00000371037,ENST00000435165,
NM_001350400	n/a
NM_001145278	ENST00000337132
NR_126031	n/a
NM_001301823	n/a
NM_032785	ENST00000416121,ENST00000371839,
NM_001145277	ENST00000337132
NM_001350398	n/a
NM_001350399	n/a
NM_001301824	n/a
NR_146649	n/a
NM_001323573	n/a
NM_001323574	n/a
NM_001293562	n/a
NR_146648	n/a
NM_018090	ENST00000337132
NM_001323575	n/a
NM_001350401	n/a
NM_013943	ENST00000488683,ENST00000374379,
NM_001350402	n/a
NM_052998	ENST00000373443,ENST00000294517,ENST00000481886,ENST00000398167,
NM_001301825	n/a
NM_001301826	n/a
NR_136623	n/a
NM_001080397	ENST00000289877,ENST00000497660,
NM_001195683	ENST00000212355
NR_036634	ENST00000212355
NM_003243	ENST00000212355
NM_001918	ENST00000370132
NM_001195684	ENST00000212355
NM_021222	ENST00000271620,ENST00000368936,
NM_001303242	n/a
NM_001363558	n/a
NM_001303229	n/a
NM_001286644	n/a
NM_022457	ENST00000367669,
NM_001363557	n/a
NM_001001740	ENST00000367669,
NM_001303243	n/a
NM_030806	ENST00000235307
NR_130135	n/a
NR_130132	n/a
NR_130131	n/a
NR_130130	n/a
NM_001366239	n/a
NM_001270409	ENST00000328205,ENST00000481685,
NM_173083	ENST00000328205
NM_001270410	ENST00000366808
NM_001366241	n/a
NM_001366240	n/a
NM_001366237	n/a
NM_001366238	n/a
NM_001366245	n/a
NM_017891	ENST00000379320,ENST00000294576,ENST00000448924,
NM_001350805	n/a
NM_001350804	n/a
NM_001350803	n/a
NM_001363525	n/a
NM_015215	ENST00000439411,ENST00000303635,
NM_002744	ENST00000378567
NM_012405	ENST00000343813
NM_001349610	n/a
NM_001350806	n/a
NM_001349612	n/a
NM_001033582	ENST00000503672,ENST00000400920,ENST00000505322,
NM_001033581	ENST00000400921
NM_001242874	ENST00000461106
NM_022114	ENST00000441472
NM_001330306	n/a
NM_001349609	n/a
NM_001349608	n/a
NM_199454	ENST00000442529,
NR_146911	n/a
NR_149058	n/a
NM_001039361	ENST00000235347
NM_001291381	n/a
NM_001099850	ENST00000376126,ENST00000540591,
NR_135054	n/a
NR_046507	n/a
NM_001350164	n/a
NM_001330394	n/a
NM_001350168	n/a
NM_001350167	n/a
NM_001309192	n/a
NM_001309193	n/a
NM_032409	ENST00000321556,ENST00000400490,
NM_017449	ENST00000400191,
NM_001350166	n/a
NM_004442	ENST00000400191
NM_032236	ENST00000374732,ENST00000400301,
NM_004437	ENST00000356093,ENST00000373798,
NR_073499	n/a
NM_001271878	ENST00000327300
NR_073498	n/a
NM_001282560	n/a
NM_001282561	n/a
NM_001282562	n/a
NM_014676	ENST00000373747,
NM_006559	ENST00000327300,ENST00000484270,
NM_001166007	ENST00000349460,ENST00000356093,ENST00000373798,
NM_001166005	ENST00000343067
NM_001020658	ENST00000373747,
NM_001166006	ENST00000373797,ENST00000373798,
NM_006600	ENST00000321265
NM_001990	ENST00000373871,ENST00000373863,
NM_001145454	ENST00000513116
NM_203343	ENST00000356093
NM_203342	ENST00000343067
NM_001321471	n/a
NM_005066	ENST00000357214
NM_052896	ENST00000373380,ENST00000373381,ENST00000241312,
NM_012090	ENST00000539005,ENST00000361689,ENST00000289893,ENST00000567887,
NM_001321473	n/a
NM_001281956	n/a
NM_005119	ENST00000469141,ENST00000354618,
NR_136703	n/a
NR_136702	n/a
NM_001194986	ENST00000606738
NM_001355227	n/a
NM_018150	ENST00000443020,ENST00000361799,ENST00000372247,ENST00000474064,
NM_001355224	n/a
NM_001329137	n/a
NM_001329138	n/a
NM_001329139	n/a
NM_001319956	n/a
NM_021639	ENST00000479235,ENST00000355105,
NM_001329140	n/a
NM_001355226	n/a
NM_130440	ENST00000359947,ENST00000372413,ENST00000496447,
NM_001319957	n/a
NM_002840	ENST00000359947,ENST00000372414,
NM_001353985	n/a
NM_001353986	n/a
NM_001193600	ENST00000371514
NR_130900	n/a
NM_153035	ENST00000234827
NM_001353980	n/a
NM_001353983	n/a
NM_001365792	n/a
NM_007051	ENST00000545823,ENST00000396153,
NM_002867	ENST00000371655
NM_001193599	ENST00000371514
NM_002979	ENST00000371514
NM_001193617	ENST00000371514
NM_015306	ENST00000294383,
NM_001365795	n/a
NM_001365794	n/a
NM_001365793	n/a
NM_021080	ENST00000371234,ENST00000485760,
NR_045147	ENST00000489099
NM_001293274	n/a
NM_003368	ENST00000339950
NM_001347145	n/a
NM_001347148	n/a
NM_001347147	n/a
NM_001350796	n/a
NM_001350797	n/a
NM_001198687	ENST00000371059
NM_001198688	ENST00000371058
NM_005595	ENST00000403491
NM_001003680	ENST00000371059
NM_001198689	ENST00000371060
NM_020925	ENST00000290039,ENST00000470527,
NM_001113411	ENST00000371218
NM_001350795	n/a
NM_002303	ENST00000349533
NM_014288	ENST00000462285,ENST00000489099,
NM_001134673	ENST00000403491
NM_001350793	n/a
NM_001145512	ENST00000403491
NM_001145511	ENST00000403491,
NM_001003679	ENST00000371060
NM_001350798	n/a
NM_018291	ENST00000430447,ENST00000371218,
NM_001017416	ENST00000371146
NM_001017415	ENST00000371146
NM_001206739	ENST00000371092
NR_103473	n/a
NM_001366840	n/a
NM_001366841	n/a
NM_001366842	n/a
NM_001350216	n/a
NM_001366839	n/a
NM_001366838	n/a
NM_173808	ENST00000306821,ENST00000357731,
NM_001330635	n/a
NM_001366836	n/a
NM_001366837	n/a
NM_001370785	n/a
NM_005482	ENST00000370812,ENST00000359130,
NM_001349110	n/a
NM_001349106	n/a
NM_001366004	n/a
NM_152996	ENST00000328299
NM_001160011	ENST00000464140
NM_001366008	n/a
NM_001366003	n/a
NM_001349105	n/a
NM_001349111	n/a
NM_001349109	n/a
NM_001349108	n/a
NM_001349107	n/a
NR_146056	n/a
NR_110682	n/a
NR_024602	ENST00000370563
NM_012128	ENST00000370563
NM_001134445	ENST00000483110,
NM_032270	ENST00000370454
NM_001252273	ENST00000370310
NM_001252271	ENST00000370310,
NM_001252269	ENST00000370310
NM_001252270	ENST00000370310
NR_033998	ENST00000438509
NR_125991	n/a
NM_001308253	n/a
NM_001006605	ENST00000370310
NM_002061	ENST00000370238,
NM_001113226	ENST00000370073
NM_001372171	n/a
NM_014917	ENST00000294649,ENST00000370074,ENST00000370068,
NM_001330665	n/a
NM_001372166	n/a
NM_001372168	n/a
NM_001372167	n/a
NM_001312688	n/a
NM_001113228	ENST00000370071,ENST00000370073,
NM_001372170	n/a
NM_001372169	n/a
NM_001010935	ENST00000436150
NR_136564	n/a
NR_136565	n/a
NR_136566	n/a
NR_136567	n/a
NR_136568	n/a
NM_001370216	n/a
NM_006608	ENST00000412670,ENST00000474926,ENST00000393357,ENST00000357783,
NM_001323048	n/a
NM_001323047	n/a
NM_001204269	ENST00000369770
NM_001323046	n/a
NM_006496	ENST00000369851
NM_001323045	n/a
NM_001323049	n/a
NM_001323050	n/a
NM_001323052	n/a
NM_002884	ENST00000436150,ENST00000369709,
NM_001291896	n/a
NM_175744	ENST00000339083,ENST00000285735,
NM_001323044	n/a
NM_001323043	n/a
NM_001323042	n/a
NM_001323041	n/a
NM_001323051	n/a
NM_001323053	n/a
NM_001042679	ENST00000369633
NM_001042678	ENST00000339083
NM_024408	ENST00000256646
NM_001200001	ENST00000479412,ENST00000256646,
NM_006784	ENST00000349139
NM_020205	ENST00000369135
NM_001037675	ENST00000375552,ENST00000468030,ENST00000369339,ENST00000369202,ENST00000310701,
NR_136328	n/a
NM_002614	ENST00000344770
NM_001201325	ENST00000417171
NM_001277444	ENST00000375552,ENST00000342960,ENST00000369338,ENST00000310701,ENST00000369202,
NM_001201326	ENST00000417171,ENST00000401011,
NM_001302371	n/a
NM_001371359	n/a
NM_001371361	n/a
NM_001039703	ENST00000342960,
NM_001323614	n/a
NM_001323615	n/a
NM_001323616	n/a
NM_001323617	n/a
NM_001043351	ENST00000368533
NM_015327	ENST00000361813
NM_152263	ENST00000368530
NM_001043352	ENST00000368533
NR_103461	ENST00000368533
NM_001278191	ENST00000368533
NM_153649	ENST00000368533
NM_001278188	ENST00000368533
NM_001278190	ENST00000368533
NM_001364681	n/a
NM_001364682	n/a
NM_001364683	n/a
NM_001364679	n/a
NM_001349679	n/a
NR_002188	ENST00000486869
NM_001278189	ENST00000368533
NM_001043353	ENST00000368533
NM_001364680	n/a
NM_001136219	ENST00000271450
NR_036683	ENST00000400982
NM_001204963	ENST00000420696,ENST00000540246,
NM_002585	ENST00000420696
NM_001353131	n/a
NM_001204961	ENST00000420696
NM_001353130	n/a
NM_021642	ENST00000271450
NM_001350205	n/a
NM_001163629	ENST00000367759
NM_025063	ENST00000367758
NM_015569	ENST00000358155
NM_001136127	ENST00000358155
NM_001350206	n/a
NM_022093	ENST00000239462
NR_146559	n/a
NM_001278252	ENST00000367733,ENST00000520906,
NM_001350204	n/a
NM_005092	ENST00000404377
NR_045530	ENST00000367619
NM_001252512	ENST00000367619,
NM_001366934	n/a
NM_001137669	ENST00000367561,ENST00000294854,
NM_001174061	ENST00000367537,ENST00000456731,ENST00000367537,
NM_001252511	ENST00000367619
NM_021165	ENST00000361539,
NM_032360	ENST00000367595
NM_201569	ENST00000367537
NM_001350219	n/a
NM_001331007	n/a
NM_003101	ENST00000367619
NM_170692	ENST00000448150
NM_001350222	n/a
NM_201568	ENST00000367537
NM_001350220	n/a
NM_001350221	n/a
NM_173156	ENST00000347615
NM_000963	ENST00000367468
NM_194314	ENST00000367405,
NR_135153	n/a
NM_133494	ENST00000367385,
NR_147896	n/a
NM_002481	ENST00000608999
NM_001331029	n/a
NM_001170637	ENST00000295713,
NM_015326	ENST00000419187,ENST00000439126,ENST00000295713,
NM_001167857	ENST00000480184
NM_001300952	n/a
NM_001167858	ENST00000480184
NM_001350124	n/a
NM_018664	ENST00000243440
NM_001122834	ENST00000413764
NM_001170587	ENST00000545154,ENST00000261458,
NM_001170580	ENST00000367010
NM_001134285	ENST00000366940
NM_001243513	ENST00000366938
NM_001243512	ENST00000361525
NM_001170564	ENST00000541565,ENST00000367009,
NM_001170588	ENST00000537898,
NM_001243507	ENST00000361525
NM_001243506	ENST00000361525,ENST00000493603,
NM_001243505	ENST00000361525
NM_001350122	n/a
NM_001350125	n/a
NM_001243510	n/a
NM_001243511	n/a
NM_001243509	ENST00000361525
NM_018194	ENST00000261458,ENST00000545154,
NM_001350123	n/a
NM_206595	ENST00000361525
NM_206594	ENST00000361525
NM_206933	ENST00000307340
NR_031644	n/a
NM_001367479	n/a
NM_004446	ENST00000366923,
NR_028399	n/a
NR_028400	n/a
NR_028394	n/a
NR_028395	n/a
NR_028396	n/a
NR_028397	n/a
NR_028398	n/a
NR_028393	n/a
NR_034037	ENST00000448058
NM_145214	ENST00000284551,ENST00000366699,
NM_018230	ENST00000261396
NR_027247	ENST00000450451
NM_002924	ENST00000348120,ENST00000331110,ENST00000366563,ENST00000366565,
NM_001291939	n/a
NM_001301365	n/a
NM_000254	ENST00000366577,
NM_001291940	n/a
NM_001364886	n/a
NM_001282778	n/a
NM_001282775	n/a
NM_001350116	n/a
NM_001350114	n/a
NM_001350113	n/a
NM_001282773	n/a
NM_000081	ENST00000389794,ENST00000465349,
NM_001350115	n/a
NM_018012	ENST00000407071,ENST00000366518,ENST00000407071,
NM_001167740	ENST00000490107
NM_022743	ENST00000366516,ENST00000541742,
NM_001001918	ENST00000317861
NM_032752	ENST00000366498,ENST00000294753,
NR_047519	n/a
NR_047521	n/a
NR_047523	ENST00000445118
NR_047524	ENST00000445118
NR_047525	ENST00000445118
NM_001291345	n/a
NM_033490	n/a
NM_033489	ENST00000341832
NM_033486	ENST00000341832
NM_033487	ENST00000341832,
NM_001787	n/a
NM_023018	ENST00000341426
NM_001353642	n/a
NM_001198993	ENST00000341991
NM_001198994	ENST00000378625
NM_001353641	n/a
NM_001014980	ENST00000330388
NM_003820	ENST00000442392,ENST00000496064,ENST00000355716,
NM_001242672	ENST00000401095
NM_003036	ENST00000378536
NM_001297605	n/a
NM_001282669	n/a
NR_104222	n/a
NM_001409	ENST00000294599,ENST00000356575,
NM_001320132	n/a
NM_004402	ENST00000338895,ENST00000378209,
NM_152492	ENST00000294600
NM_001320136	n/a
NR_135151	n/a
NR_135150	n/a
NR_135152	n/a
NM_018836	ENST00000378191
NM_001042478	ENST00000378190
NM_001199861	ENST00000378097
NM_172130	ENST00000378097
NM_015102	ENST00000489180
NR_111987	n/a
NM_003636	ENST00000378097
NM_001199863	ENST00000378083
NM_001199862	ENST00000378083
NM_001199860	ENST00000164247
NM_001291593	n/a
NM_001291594	n/a
NM_001265592	ENST00000377748
NM_198681	ENST00000377748,
NM_001042663	ENST00000377748
NR_146202	n/a
NM_001242701	ENST00000476163
NR_038934	ENST00000476163
NM_181864	ENST00000377855
NM_007274	ENST00000361521
NR_146203	n/a
NM_001349625	n/a
NM_001349617	n/a
NM_001289861	n/a
NM_001561	ENST00000377507
NM_001289862	n/a
NM_001349614	n/a
NM_016831	ENST00000377541,ENST00000377532,
NM_001349623	n/a
NM_001349620	n/a
NM_001289863	n/a
NM_001349621	n/a
NM_001289864	n/a
NM_024980	ENST00000377411,
NM_004285	ENST00000377403
NM_001282587	n/a
NM_012102	ENST00000337907
NM_001042681	ENST00000337907
NM_020248	ENST00000377263
NM_006048	ENST00000377157,
NM_001105562	ENST00000377157,
NM_001365952	n/a
NM_183416	ENST00000377093
NM_015074	ENST00000377081,ENST00000377086,
NM_001365951	n/a
NM_014944	ENST00000377298
NM_001302883	n/a
NM_001365953	n/a
NM_001009566	ENST00000377298,
NM_001012329	ENST00000377263
NM_017766	ENST00000496432,ENST00000344008,
NM_001170754	ENST00000377004,ENST00000377008,ENST00000377004,
NM_004565	ENST00000356607,
NM_001366227	n/a
NM_004958	ENST00000361445
NM_002685	ENST00000376936
NM_001001998	ENST00000376936
NM_001079843	ENST00000377022
NM_001040197	ENST00000314340
NM_001040196	ENST00000376629
NM_001040195	ENST00000376637
NM_001040194	ENST00000376629
NM_014874	ENST00000235329
NM_001243	ENST00000263932
NM_015378	ENST00000358136,
NM_001281430	n/a
NM_001127660	ENST00000444836
NM_020350	ENST00000314340
NM_018156	ENST00000356315
NM_001013630	ENST00000376221
NM_001310134	n/a
NR_027136	ENST00000310916
NM_001018000	ENST00000361144
NM_001018001	ENST00000400798
NM_052929	ENST00000358897,ENST00000417793,
NM_015209	ENST00000422387
NM_001017999	ENST00000400798
NM_201628	ENST00000376030,
NM_001370231	n/a
NM_001370230	n/a
NM_001370229	n/a
NM_001287811	n/a
NM_015291	ENST00000375838,ENST00000375847,
NM_015001	ENST00000375759,
NM_018994	ENST00000375592
NR_109898	n/a
NM_032341	ENST00000486680,ENST00000480945,
NR_026567	ENST00000492551
NM_002403	ENST00000375535
NM_001135248	ENST00000375535
NM_001135247	ENST00000375535
NM_013358	ENST00000375471,
NM_007365	ENST00000375486,ENST00000375481,
NM_017459	ENST00000375535
NM_017940	ENST00000430580,
NM_001011722	ENST00000375420,ENST00000452522,ENST00000469726,ENST00000375408,
NM_001319837	n/a
NM_001328124	n/a
NM_001319838	n/a
NM_032880	ENST00000251296,ENST00000497331,
NR_137287	n/a
NR_137288	n/a
NM_018125	ENST00000361221
NM_030812	ENST00000375406
NM_001136265	ENST00000455833
NM_002584	ENST00000375375
NM_001206540	ENST00000401084,ENST00000264203,
NM_013945	ENST00000375375
NM_020765	ENST00000419533,ENST00000375254,
NM_001313932	n/a
NM_004930	ENST00000401084,
NM_001135254	ENST00000420770
NM_001282162	n/a
NM_001206541	n/a
NR_033887	ENST00000426428
NM_001349112	n/a
NM_001349113	n/a
NM_001349114	n/a
NM_181719	ENST00000375127,ENST00000294543,ENST00000375127,
NM_001198803	ENST00000356916,
NM_000478	ENST00000374840
NM_001369804	n/a
NM_001372052	n/a
NM_001127501	ENST00000540617,ENST00000374840,
NM_001198802	ENST00000602326
NM_001198801	ENST00000602326
NM_001177520	ENST00000539907,ENST00000374840,
NM_003760	ENST00000264211,
NM_001369803	n/a
NM_001113348	ENST00000415912
NM_001369805	n/a
NM_016287	ENST00000312239,ENST00000375003,ENST00000312239,ENST00000438032,
NM_001330398	n/a
NM_001791	ENST00000400259
NM_001013693	ENST00000344642
NM_014870	ENST00000404138,
NM_044472	ENST00000344548,ENST00000315554,
NM_001291860	n/a
NM_001039802	ENST00000344548,ENST00000400259,
NM_001083621	ENST00000404138
NM_005529	ENST00000374695,
NM_003196	ENST00000450454,
NM_033631	ENST00000302291,ENST00000314174,ENST00000302291,
NM_004091	ENST00000361729
NM_001142546	ENST00000302291
NM_001330409	n/a
NM_001322858	n/a
NM_001322859	n/a
NM_001322860	n/a
NM_001322861	n/a
NM_001322862	n/a
NM_001322863	n/a
NM_001322864	n/a
NM_001322866	n/a
NM_001322868	n/a
NR_136506	n/a
NR_136507	n/a
NR_136508	n/a
NM_170743	ENST00000327535
NM_001322856	n/a
NM_001322855	n/a
NM_001322857	n/a
NM_020448	ENST00000358028,ENST00000003912,
NM_001010980	ENST00000374392
NM_001322865	n/a
NM_001322854	n/a
NM_173065	ENST00000327535,ENST00000374418,
NM_173064	ENST00000327535
NM_138618	ENST00000294413,ENST00000243186,ENST00000413854,
NM_001282564	n/a
NM_018202	ENST00000374343,ENST00000399766,
NM_138617	ENST00000455194
NM_138616	ENST00000455194
NM_001330430	n/a
NM_020485	ENST00000294413,ENST00000349320,
NM_001289010	n/a
NM_020379	ENST00000374332
