tx_id	gene	gene_recovery	transcript_recovery	tx_perc_recovery
NM_005101	ISG15	3.0	3.0	100.0
NM_001305275	AGRN	30.0	15.0	50.0
NM_198576	AGRN	30.0	15.0	50.0
NM_003327	TNFRSF4	1.0	1.0	100.0
NM_080605	B3GALT6	18.0	18.0	100.0
NM_004421	DVL1	34.0	17.0	50.0
NM_001330311	DVL1	34.0	17.0	50.0
NM_001282582	MXRA8	5.0	1.0	20.0
NM_001282583	MXRA8	5.0	1.0	20.0
NM_001282584	MXRA8	5.0	1.0	20.0
NM_032348	MXRA8	5.0	1.0	20.0
NM_001282585	MXRA8	5.0	1.0	20.0
NM_018188	ATAD3A	4.0	2.0	50.0
NM_001170535	ATAD3A	4.0	1.0	25.0
NM_001170536	ATAD3A	4.0	1.0	25.0
NM_001114748	TMEM240	6.0	6.0	100.0
NM_001282539	GNB1	32.0	11.0	34.375
NM_001282538	GNB1	32.0	10.0	31.25
NM_002074	GNB1	32.0	11.0	34.375
NM_003036	SKI	15.0	15.0	100.0
NM_002617	PEX10	39.0	18.0	46.15384615384615
NM_153818	PEX10	39.0	21.0	53.84615384615385
NM_022114	PRDM16	14.0	7.0	50.0
NM_199454	PRDM16	14.0	7.0	50.0
NM_014704	CEP104	5.0	5.0	100.0
NM_001291594	NPHP4	86.0	20.0	23.25581395348837
NM_001291593	NPHP4	86.0	22.0	25.581395348837212
NR_111987	NPHP4	86.0	22.0	25.581395348837212
NM_015102	NPHP4	86.0	22.0	25.581395348837212
NM_207370	GPR153	1.0	1.0	100.0
NM_031475	ESPN	11.0	11.0	100.0
NM_198681	PLEKHG5	88.0	11.0	12.5
NM_001042663	PLEKHG5	88.0	11.0	12.5
NM_001265592	PLEKHG5	88.0	11.0	12.5
NM_020631	PLEKHG5	88.0	11.0	12.5
NM_001265594	PLEKHG5	88.0	11.0	12.5
NM_001042664	PLEKHG5	88.0	11.0	12.5
NM_001042665	PLEKHG5	88.0	11.0	12.5
NM_001265593	PLEKHG5	88.0	11.0	12.5
NM_015215	CAMTA1	21.0	21.0	100.0
NM_001242701	CAMTA1	21.0	0.0	0.0
NR_038934	CAMTA1	21.0	0.0	0.0
NM_001195563	CAMTA1	21.0	0.0	0.0
NM_001289862	PER3	15.0	3.0	20.0
NM_001289861	PER3	15.0	3.0	20.0
NM_001289863	PER3	15.0	3.0	20.0
NM_001289864	PER3	15.0	3.0	20.0
NM_016831	PER3	15.0	3.0	20.0
NM_007262	PARK7	14.0	7.0	50.0
NM_001123377	PARK7	14.0	7.0	50.0
NM_001080397	SLC45A1	2.0	2.0	100.0
NM_001042681	RERE	53.0	18.0	33.9622641509434
NM_012102	RERE	53.0	18.0	33.9622641509434
NM_001042682	RERE	53.0	17.0	32.075471698113205
NM_004285	H6PD	10.0	5.0	50.0
NM_001282587	H6PD	10.0	5.0	50.0
NM_005026	PIK3CD	5.0	5.0	100.0
NR_027045	PIK3CD	5.0	0.0	0.0
NR_126367	PIK3CD	5.0	0.0	0.0
NR_126366	PIK3CD	5.0	0.0	0.0
NR_126368	PIK3CD	5.0	0.0	0.0
NM_001297778	NMNAT1	37.0	16.0	43.24324324324324
NM_022787	NMNAT1	37.0	16.0	43.24324324324324
NM_001297779	NMNAT1	37.0	5.0	13.513513513513514
NM_015074	KIF1B	5.0	3.0	60.0
NM_183416	KIF1B	5.0	2.0	40.0
NM_004565	PEX14	1.0	1.0	100.0
NM_007375	TARDBP	18.0	18.0	100.0
NM_004958	MTOR	22.0	21.0	95.45454545454545
NR_046600	MTOR	22.0	1.0	4.545454545454546
NM_001330349	UBIAD1	21.0	7.0	33.33333333333333
NM_001330350	UBIAD1	21.0	5.0	23.809523809523807
NM_013319	UBIAD1	21.0	9.0	42.857142857142854
NM_001127325	MAD2L2	2.0	1.0	50.0
NM_006341	MAD2L2	2.0	1.0	50.0
NM_005957	MTHFR	112.0	56.0	50.0
NM_001330358	MTHFR	112.0	56.0	50.0
NR_037806	NPPA	2.0	0.0	0.0
NM_006172	NPPA	2.0	2.0	100.0
NM_001316320	PLOD1	34.0	17.0	50.0
NM_000302	PLOD1	34.0	17.0	50.0
NM_014874	MFN2	128.0	64.0	50.0
NM_001127660	MFN2	128.0	64.0	50.0
NM_015378	VPS13D	14.0	7.0	50.0
NM_018156	VPS13D	14.0	7.0	50.0
NM_007272	CTRC	5.0	5.0	100.0
NM_033440	CELA2A	3.0	3.0	100.0
NM_004070	CLCNKA	8.0	3.0	37.5
NM_001042704	CLCNKA	8.0	3.0	37.5
NM_001257139	CLCNKA	8.0	2.0	25.0
NM_000085	CLCNKB	26.0	15.0	57.692307692307686
NM_001165945	CLCNKB	26.0	11.0	42.30769230769231
NM_001329090	EPHA2	10.0	5.0	50.0
NM_004431	EPHA2	10.0	5.0	50.0
NM_001141974	ATP13A2	50.0	16.0	32.0
NM_001141973	ATP13A2	50.0	17.0	34.0
NM_022089	ATP13A2	50.0	17.0	34.0
NM_003000	SDHB	107.0	107.0	100.0
NM_016233	PADI3	8.0	8.0	100.0
NM_207421	PADI6	4.0	4.0	100.0
NM_018125	ARHGEF10L	7.0	1.0	14.285714285714285
NR_137287	ARHGEF10L	7.0	1.0	14.285714285714285
NR_137288	ARHGEF10L	7.0	1.0	14.285714285714285
NM_001011722	ARHGEF10L	7.0	1.0	14.285714285714285
NM_001319837	ARHGEF10L	7.0	1.0	14.285714285714285
NM_001319838	ARHGEF10L	7.0	1.0	14.285714285714285
NM_001328124	ARHGEF10L	7.0	1.0	14.285714285714285
NM_001135254	PAX7	9.0	3.0	33.33333333333333
NM_002584	PAX7	9.0	3.0	33.33333333333333
NM_013945	PAX7	9.0	3.0	33.33333333333333
NM_001319218	ALDH4A1	11.0	3.0	27.27272727272727
NM_170726	ALDH4A1	11.0	3.0	27.27272727272727
NM_003748	ALDH4A1	11.0	3.0	27.27272727272727
NM_001161504	ALDH4A1	11.0	2.0	18.181818181818183
NM_020765	UBR4	5.0	5.0	100.0
NM_001271429	EMC1	28.0	7.0	25.0
NM_001271427	EMC1	28.0	7.0	25.0
NM_001271428	EMC1	28.0	7.0	25.0
NM_015047	EMC1	28.0	7.0	25.0
NM_001161728	PLA2G2A	4.0	1.0	25.0
NM_001161727	PLA2G2A	4.0	1.0	25.0
NM_000300	PLA2G2A	4.0	1.0	25.0
NM_001161729	PLA2G2A	4.0	1.0	25.0
NM_032409	PINK1	26.0	19.0	73.07692307692307
NR_046507	PINK1	26.0	7.0	26.923076923076923
NM_005216	DDOST	3.0	3.0	100.0
NM_001113348	ECE1	12.0	3.0	25.0
NM_001397	ECE1	12.0	3.0	25.0
NM_001113349	ECE1	12.0	3.0	25.0
NM_001113347	ECE1	12.0	3.0	25.0
NM_000478	ALPL	196.0	68.0	34.69387755102041
NM_001127501	ALPL	196.0	67.0	34.183673469387756
NM_001177520	ALPL	196.0	61.0	31.122448979591837
NM_005529	HSPG2	10.0	5.0	50.0
NM_001291860	HSPG2	10.0	5.0	50.0
NM_001039802	CDC42	26.0	9.0	34.61538461538461
NM_001791	CDC42	26.0	9.0	34.61538461538461
NM_044472	CDC42	26.0	8.0	30.76923076923077
NM_030761	WNT4	4.0	4.0	100.0
NM_001347465	C1QA	9.0	3.0	33.33333333333333
NM_015991	C1QA	9.0	3.0	33.33333333333333
NM_001347466	C1QA	9.0	3.0	33.33333333333333
NM_001347619	C1QC	15.0	4.0	26.666666666666668
NM_001114101	C1QC	15.0	4.0	26.666666666666668
NM_172369	C1QC	15.0	4.0	26.666666666666668
NM_001347620	C1QC	15.0	3.0	20.0
NM_000491	C1QB	2.0	2.0	100.0
NM_004442	EPHB2	20.0	5.0	25.0
NM_017449	EPHB2	20.0	5.0	25.0
NM_001309193	EPHB2	20.0	5.0	25.0
NM_001309192	EPHB2	20.0	5.0	25.0
NM_001009999	KDM1A	10.0	5.0	50.0
NM_015013	KDM1A	10.0	5.0	50.0
NM_001297622	HNRNPR	7.0	1.0	14.285714285714285
NM_001297621	HNRNPR	7.0	1.0	14.285714285714285
NM_001102397	HNRNPR	7.0	1.0	14.285714285714285
NM_001102399	HNRNPR	7.0	1.0	14.285714285714285
NM_001297620	HNRNPR	7.0	1.0	14.285714285714285
NM_005826	HNRNPR	7.0	1.0	14.285714285714285
NM_001102398	HNRNPR	7.0	1.0	14.285714285714285
NM_000975	RPL11	20.0	10.0	50.0
NM_001199802	RPL11	20.0	10.0	50.0
NM_001008216	GALE	33.0	11.0	33.33333333333333
NM_000403	GALE	33.0	11.0	33.33333333333333
NM_001127621	GALE	33.0	11.0	33.33333333333333
NM_001166059	HMGCL	32.0	13.0	40.625
NM_000191	HMGCL	32.0	19.0	59.375
NM_000147	FUCA1	15.0	15.0	100.0
NM_198174	GRHL3	35.0	8.0	22.857142857142858
NM_198173	GRHL3	35.0	9.0	25.71428571428571
NM_001195010	GRHL3	35.0	9.0	25.71428571428571
NM_021180	GRHL3	35.0	9.0	25.71428571428571
NM_013943	CLIC4	1.0	1.0	100.0
NR_135788	RSRP1	4.0	0.0	0.0
NM_001321772	RSRP1	4.0	0.0	0.0
NR_135787	RSRP1	4.0	0.0	0.0
NR_135789	RSRP1	4.0	0.0	0.0
NR_135777	RSRP1	4.0	0.0	0.0
NM_020317	RSRP1	4.0	0.0	0.0
NR_135785	RSRP1	4.0	0.0	0.0
NR_135144	RSRP1	4.0	0.0	0.0
NR_135783	RSRP1	4.0	0.0	0.0
NR_135781	RSRP1	4.0	0.0	0.0
NR_135782	RSRP1	4.0	0.0	0.0
NR_135778	RSRP1	4.0	0.0	0.0
NR_135780	RSRP1	4.0	0.0	0.0
NR_135786	RSRP1	4.0	0.0	0.0
NR_135784	RSRP1	4.0	0.0	0.0
NR_135143	RSRP1	4.0	0.0	0.0
NR_135792	RSRP1	4.0	1.0	25.0
NR_135793	RSRP1	4.0	1.0	25.0
NR_135791	RSRP1	4.0	1.0	25.0
NR_135790	RSRP1	4.0	1.0	25.0
NM_001282872	RHD	16.0	2.0	12.5
NM_001282871	RHD	16.0	2.0	12.5
NM_016124	RHD	16.0	2.0	12.5
NM_001282870	RHD	16.0	2.0	12.5
NM_001282869	RHD	16.0	2.0	12.5
NM_001282868	RHD	16.0	2.0	12.5
NM_001127691	RHD	16.0	2.0	12.5
NM_001282867	RHD	16.0	2.0	12.5
NM_138616	RHCE	4.0	1.0	25.0
NM_138617	RHCE	4.0	1.0	25.0
NM_138618	RHCE	4.0	0.0	0.0
NM_001330430	RHCE	4.0	1.0	25.0
NM_020485	RHCE	4.0	1.0	25.0
NM_015627	LDLRAP1	10.0	10.0	100.0
NM_020451	SELENON	69.0	35.0	50.72463768115942
NM_206926	SELENON	69.0	34.0	49.275362318840585
NM_032513	SLC30A2	4.0	2.0	50.0
NM_001004434	SLC30A2	4.0	2.0	50.0
NM_001319959	DHDDS	20.0	4.0	20.0
NM_024887	DHDDS	20.0	4.0	20.0
NM_205861	DHDDS	20.0	4.0	20.0
NM_001243564	DHDDS	20.0	4.0	20.0
NM_001243565	DHDDS	20.0	4.0	20.0
NM_006015	ARID1A	56.0	28.0	50.0
NM_139135	ARID1A	56.0	28.0	50.0
NM_017837	PIGV	18.0	9.0	50.0
NM_001202554	PIGV	18.0	9.0	50.0
NM_021969	NR0B2	2.0	2.0	100.0
NM_152365	KDF1	1.0	1.0	100.0
NR_046474	SLC9A1	4.0	2.0	50.0
NM_003047	SLC9A1	4.0	2.0	50.0
NM_001297609	MAP3K6	2.0	1.0	50.0
NM_004672	MAP3K6	2.0	1.0	50.0
NM_173452	FCN3	2.0	1.0	50.0
NM_003665	FCN3	2.0	1.0	50.0
NM_001029882	AHDC1	45.0	45.0	100.0
NM_203342	EPB41	30.0	5.0	16.666666666666664
NM_001166005	EPB41	30.0	5.0	16.666666666666664
NM_203343	EPB41	30.0	5.0	16.666666666666664
NM_004437	EPB41	30.0	5.0	16.666666666666664
NM_001166007	EPB41	30.0	5.0	16.666666666666664
NM_001166006	EPB41	30.0	5.0	16.666666666666664
NM_016011	MECR	2.0	1.0	50.0
NM_001024732	MECR	2.0	1.0	50.0
NM_005704	PTPRU	8.0	2.0	25.0
NM_133177	PTPRU	8.0	2.0	25.0
NM_133178	PTPRU	8.0	2.0	25.0
NM_001195001	PTPRU	8.0	2.0	25.0
NM_014676	PUM1	6.0	3.0	50.0
NM_001020658	PUM1	6.0	3.0	50.0
NM_001294336	ADGRB2	2.0	1.0	50.0
NM_001294335	ADGRB2	2.0	1.0	50.0
NM_005356	LCK	3.0	1.0	33.33333333333333
NM_001330468	LCK	3.0	1.0	33.33333333333333
NM_001042771	LCK	3.0	1.0	33.33333333333333
NM_004964	HDAC1	1.0	1.0	100.0
NM_003680	YARS	4.0	4.0	100.0
NM_002143	HPCA	3.0	3.0	100.0
NM_001319142	AK2	92.0	9.0	9.782608695652174
NR_134976	AK2	92.0	10.0	10.869565217391305
NM_001199199	AK2	92.0	10.0	10.869565217391305
NM_013411	AK2	92.0	10.0	10.869565217391305
NM_001319141	AK2	92.0	10.0	10.869565217391305
NM_001319139	AK2	92.0	10.0	10.869565217391305
NM_001625	AK2	92.0	11.0	11.956521739130435
NM_001319140	AK2	92.0	11.0	11.956521739130435
NM_001319143	AK2	92.0	11.0	11.956521739130435
NM_153212	GJB4	7.0	7.0	100.0
NM_024009	GJB3	24.0	12.0	50.0
NM_001005752	GJB3	24.0	12.0	50.0
NM_017825	ADPRHL2	7.0	7.0	100.0
NM_001294347	COL8A2	6.0	3.0	50.0
NM_005202	COL8A2	6.0	3.0	50.0
NM_001270895	TRAPPC3	4.0	1.0	25.0
NR_073098	TRAPPC3	4.0	0.0	0.0
NM_001270897	TRAPPC3	4.0	0.0	0.0
NM_014408	TRAPPC3	4.0	1.0	25.0
NM_001270894	TRAPPC3	4.0	1.0	25.0
NR_073097	TRAPPC3	4.0	0.0	0.0
NM_001270896	TRAPPC3	4.0	1.0	25.0
NM_172313	CSF3R	30.0	10.0	33.33333333333333
NM_000760	CSF3R	30.0	10.0	33.33333333333333
NM_156039	CSF3R	30.0	10.0	33.33333333333333
NM_024700	SNIP1	2.0	2.0	100.0
NM_005540	INPP5B	1.0	1.0	100.0
NM_001297434	INPP5B	1.0	0.0	0.0
NM_012090	MACF1	7.0	7.0	100.0
NR_132414	TRIT1	35.0	1.0	2.857142857142857
NR_132413	TRIT1	35.0	1.0	2.857142857142857
NR_132412	TRIT1	35.0	1.0	2.857142857142857
NR_132409	TRIT1	35.0	1.0	2.857142857142857
NR_132410	TRIT1	35.0	1.0	2.857142857142857
NR_132408	TRIT1	35.0	1.0	2.857142857142857
NR_132407	TRIT1	35.0	1.0	2.857142857142857
NM_001312692	TRIT1	35.0	1.0	2.857142857142857
NR_132406	TRIT1	35.0	3.0	8.571428571428571
NR_132405	TRIT1	35.0	3.0	8.571428571428571
NR_132403	TRIT1	35.0	3.0	8.571428571428571
NR_132404	TRIT1	35.0	3.0	8.571428571428571
NR_132402	TRIT1	35.0	3.0	8.571428571428571
NR_132401	TRIT1	35.0	3.0	8.571428571428571
NM_001312691	TRIT1	35.0	3.0	8.571428571428571
NM_017646	TRIT1	35.0	3.0	8.571428571428571
NR_132415	TRIT1	35.0	3.0	8.571428571428571
NM_001136493	MFSD2A	18.0	4.0	22.22222222222222
NM_032793	MFSD2A	18.0	4.0	22.22222222222222
NR_109896	MFSD2A	18.0	2.0	11.11111111111111
NM_001287809	MFSD2A	18.0	4.0	22.22222222222222
NM_001287808	MFSD2A	18.0	4.0	22.22222222222222
NM_001142604	PPT1	112.0	45.0	40.17857142857143
NM_000310	PPT1	112.0	67.0	59.82142857142857
NM_005857	ZMPSTE24	13.0	13.0	100.0
NM_001852	COL9A2	3.0	3.0	100.0
NM_004700	KCNQ4	56.0	28.0	50.0
NM_172163	KCNQ4	56.0	28.0	50.0
NM_001287507	PPCS	18.0	2.0	11.11111111111111
NM_001287506	PPCS	18.0	2.0	11.11111111111111
NM_001287511	PPCS	18.0	2.0	11.11111111111111
NM_001287510	PPCS	18.0	3.0	16.666666666666664
NM_024664	PPCS	18.0	3.0	16.666666666666664
NM_001287508	PPCS	18.0	2.0	11.11111111111111
NM_001077447	PPCS	18.0	2.0	11.11111111111111
NM_001287509	PPCS	18.0	2.0	11.11111111111111
NM_001185117	CLDN19	21.0	7.0	33.33333333333333
NM_148960	CLDN19	21.0	7.0	33.33333333333333
NM_001123395	CLDN19	21.0	7.0	33.33333333333333
NM_022356	P3H1	50.0	16.0	32.0
NM_001146289	P3H1	50.0	17.0	34.0
NM_001243246	P3H1	50.0	17.0	34.0
NM_199342	SVBP	2.0	2.0	100.0
NM_001017922	ERMAP	2.0	1.0	50.0
NM_018538	ERMAP	2.0	1.0	50.0
NM_006516	SLC2A1	102.0	102.0	100.0
NR_033967	SLC2A1	102.0	0.0	0.0
NM_005373	MPL	23.0	23.0	100.0
NM_001256402	ELOVL1	5.0	1.0	20.0
NM_001256401	ELOVL1	5.0	1.0	20.0
NR_046117	ELOVL1	5.0	1.0	20.0
NM_022821	ELOVL1	5.0	1.0	20.0
NM_001256399	ELOVL1	5.0	1.0	20.0
NM_015284	SZT2	22.0	22.0	100.0
NM_001329138	PTPRF	2.0	0.0	0.0
NM_001329137	PTPRF	2.0	0.0	0.0
NM_002840	PTPRF	2.0	1.0	50.0
NM_130440	PTPRF	2.0	1.0	50.0
NM_001329139	PTPRF	2.0	0.0	0.0
NM_001329140	PTPRF	2.0	0.0	0.0
NM_174963	ST3GAL3	63.0	3.0	4.761904761904762
NM_174964	ST3GAL3	63.0	3.0	4.761904761904762
NM_174965	ST3GAL3	63.0	2.0	3.1746031746031744
