gene	tx_id	gene_recovery	transcript_recovery	tx_perc_recovery	tx_rank
ISG15	NM_005101	3.0	3.0	100.0	1.0
AGRN	NM_001305275	30.0	15.0	50.0	1.0
AGRN	NM_198576	30.0	15.0	50.0	1.0
TNFRSF4	NM_003327	1.0	1.0	100.0	1.0
B3GALT6	NM_080605	18.0	18.0	100.0	1.0
DVL1	NM_004421	34.0	17.0	50.0	1.0
DVL1	NM_001330311	34.0	17.0	50.0	1.0
MXRA8	NM_001282582	5.0	1.0	20.0	1.0
MXRA8	NM_001282583	5.0	1.0	20.0	1.0
MXRA8	NM_001282584	5.0	1.0	20.0	1.0
MXRA8	NM_032348	5.0	1.0	20.0	1.0
MXRA8	NM_001282585	5.0	1.0	20.0	1.0
ATAD3A	NM_018188	4.0	2.0	50.0	1.0
TMEM240	NM_001114748	6.0	6.0	100.0	1.0
GNB1	NM_001282539	32.0	11.0	34.375	1.0
GNB1	NM_002074	32.0	11.0	34.375	1.0
SKI	NM_003036	15.0	15.0	100.0	1.0
PEX10	NM_153818	39.0	21.0	53.84615384615385	1.0
PRDM16	NM_022114	14.0	7.0	50.0	1.0
PRDM16	NM_199454	14.0	7.0	50.0	1.0
CEP104	NM_014704	5.0	5.0	100.0	1.0
NPHP4	NM_001291593	86.0	22.0	25.581395348837212	1.0
NPHP4	NR_111987	86.0	22.0	25.581395348837212	1.0
NPHP4	NM_015102	86.0	22.0	25.581395348837212	1.0
GPR153	NM_207370	1.0	1.0	100.0	1.0
ESPN	NM_031475	11.0	11.0	100.0	1.0
PLEKHG5	NM_198681	88.0	11.0	12.5	1.0
PLEKHG5	NM_001042663	88.0	11.0	12.5	1.0
PLEKHG5	NM_001265592	88.0	11.0	12.5	1.0
PLEKHG5	NM_020631	88.0	11.0	12.5	1.0
PLEKHG5	NM_001265594	88.0	11.0	12.5	1.0
PLEKHG5	NM_001042664	88.0	11.0	12.5	1.0
PLEKHG5	NM_001042665	88.0	11.0	12.5	1.0
PLEKHG5	NM_001265593	88.0	11.0	12.5	1.0
CAMTA1	NM_015215	21.0	21.0	100.0	1.0
PER3	NM_001289862	15.0	3.0	20.0	1.0
PER3	NM_001289861	15.0	3.0	20.0	1.0
PER3	NM_001289863	15.0	3.0	20.0	1.0
PER3	NM_001289864	15.0	3.0	20.0	1.0
PER3	NM_016831	15.0	3.0	20.0	1.0
PARK7	NM_007262	14.0	7.0	50.0	1.0
PARK7	NM_001123377	14.0	7.0	50.0	1.0
SLC45A1	NM_001080397	2.0	2.0	100.0	1.0
RERE	NM_001042681	53.0	18.0	33.9622641509434	1.0
RERE	NM_012102	53.0	18.0	33.9622641509434	1.0
H6PD	NM_004285	10.0	5.0	50.0	1.0
H6PD	NM_001282587	10.0	5.0	50.0	1.0
PIK3CD	NM_005026	5.0	5.0	100.0	1.0
NMNAT1	NM_001297778	37.0	16.0	43.24324324324324	1.0
NMNAT1	NM_022787	37.0	16.0	43.24324324324324	1.0
KIF1B	NM_015074	5.0	3.0	60.0	1.0
PEX14	NM_004565	1.0	1.0	100.0	1.0
TARDBP	NM_007375	18.0	18.0	100.0	1.0
MTOR	NM_004958	22.0	21.0	95.45454545454545	1.0
UBIAD1	NM_013319	21.0	9.0	42.857142857142854	1.0
MAD2L2	NM_001127325	2.0	1.0	50.0	1.0
MAD2L2	NM_006341	2.0	1.0	50.0	1.0
