rs_tx	gene	tx_recovery	gene_recovery	perc_recovery
NM_005101	ISG15	3	3.0	100.0
NM_001305275	AGRN	15	15.0	100.0
NM_198576	AGRN	15	15.0	100.0
NM_001364727	AGRN	13	15.0	86.66666666666667
NM_080605	B3GALT6	9	9.0	100.0
NM_004421	DVL1	17	17.0	100.0
NM_001330311	DVL1	17	17.0	100.0
NM_001282582	MXRA8	1	1.0	100.0
NM_001282584	MXRA8	1	1.0	100.0
NM_001282585	MXRA8	1	1.0	100.0
NM_001282583	MXRA8	1	1.0	100.0
NM_032348	MXRA8	1	1.0	100.0
NM_018188	ATAD3A	2	2.0	100.0
NM_001170535	ATAD3A	1	2.0	50.0
NM_001170536	ATAD3A	1	2.0	50.0
NM_001114748	TMEM240	3	3.0	100.0
NM_001282539	GNB1	8	8.0	100.0
NM_001282538	GNB1	7	8.0	87.5
NM_002074	GNB1	8	8.0	100.0
NM_003036	SKI	8	8.0	100.0
NM_002617	PEX10	18	29.0	62.06896551724138
NM_153818	PEX10	21	29.0	72.41379310344827
NM_022114	PRDM16	5	5.0	100.0
NM_199454	PRDM16	5	5.0	100.0
NM_014704	CEP104	5	7.0	71.42857142857143
NR_111987	NPHP4	21	22.0	95.45454545454545
NM_001291594	NPHP4	19	22.0	86.36363636363636
NM_001291593	NPHP4	21	22.0	95.45454545454545
NM_015102	NPHP4	21	22.0	95.45454545454545
NM_207370	GPR153	1	1.0	100.0
NM_031475	ESPN	9	10.0	90.0
NM_001367474	ESPN	9	10.0	90.0
NM_001367473	ESPN	9	10.0	90.0
NM_198681	PLEKHG5	11	13.0	84.61538461538461
NM_001042663	PLEKHG5	11	13.0	84.61538461538461
NM_001265592	PLEKHG5	11	13.0	84.61538461538461
NM_020631	PLEKHG5	11	13.0	84.61538461538461
NM_001265594	PLEKHG5	11	13.0	84.61538461538461
NM_001042664	PLEKHG5	11	13.0	84.61538461538461
NM_001042665	PLEKHG5	11	13.0	84.61538461538461
NM_001265593	PLEKHG5	11	13.0	84.61538461538461
NM_015215	CAMTA1	21	22.0	95.45454545454545
NM_001349609	CAMTA1	20	22.0	90.9090909090909
NM_001349610	CAMTA1	20	22.0	90.9090909090909
NM_001349608	CAMTA1	21	22.0	95.45454545454545
NM_001349612	CAMTA1	20	22.0	90.9090909090909
NM_001349614	CAMTA1	9	22.0	40.909090909090914
NM_001349620	CAMTA1	8	22.0	36.36363636363637
NM_001349621	CAMTA1	8	22.0	36.36363636363637
NM_001349623	CAMTA1	8	22.0	36.36363636363637
NM_001349625	CAMTA1	8	22.0	36.36363636363637
NM_001349617	CAMTA1	9	22.0	40.909090909090914
NM_001349613	CAMTA1	8	22.0	36.36363636363637
NM_001349616	CAMTA1	8	22.0	36.36363636363637
NM_001349615	CAMTA1	8	22.0	36.36363636363637
NM_001349618	CAMTA1	8	22.0	36.36363636363637
NM_001349619	CAMTA1	7	22.0	31.818181818181817
NM_001349622	CAMTA1	7	22.0	31.818181818181817
NM_001349626	CAMTA1	7	22.0	31.818181818181817
NM_001349624	CAMTA1	7	22.0	31.818181818181817
NM_001289863	PER3	2	3.0	66.66666666666666
NM_001289864	PER3	2	3.0	66.66666666666666
NM_016831	PER3	2	3.0	66.66666666666666
NM_001289862	PER3	2	3.0	66.66666666666666
NM_001289861	PER3	2	3.0	66.66666666666666
NM_001123377	PARK7	3	3.0	100.0
NM_007262	PARK7	3	3.0	100.0
NM_001080397	SLC45A1	2	2.0	100.0
NM_001042681	RERE	15	15.0	100.0
NM_012102	RERE	15	15.0	100.0
NM_001042682	RERE	14	15.0	93.33333333333333
NM_004285	H6PD	5	5.0	100.0
NM_001282587	H6PD	5	5.0	100.0
NM_005026	PIK3CD	4	4.0	100.0
NM_001350234	PIK3CD	4	4.0	100.0
NM_001350235	PIK3CD	4	4.0	100.0
NM_001297778	NMNAT1	10	10.0	100.0
NM_022787	NMNAT1	10	10.0	100.0
NM_001297779	NMNAT1	4	10.0	40.0
NM_001365951	KIF1B	2	3.0	66.66666666666666
NM_183416	KIF1B	1	3.0	33.33333333333333
NM_015074	KIF1B	2	3.0	66.66666666666666
NM_001365952	KIF1B	2	3.0	66.66666666666666
NM_001365953	KIF1B	1	3.0	33.33333333333333
NM_004565	PEX14	1	1.0	100.0
NM_007375	TARDBP	6	6.0	100.0
NM_004958	MTOR	22	22.0	100.0
NR_046600	MTOR	1	22.0	4.545454545454546
NM_001330349	UBIAD1	1	1.0	100.0
NM_001330350	UBIAD1	1	1.0	100.0
NM_013319	UBIAD1	1	1.0	100.0
NM_001127325	MAD2L2	1	1.0	100.0
NM_006341	MAD2L2	1	1.0	100.0
NM_005957	MTHFR	27	36.0	75.0
NM_001330358	MTHFR	27	36.0	75.0
NM_006172	NPPA	2	2.0	100.0
NM_001316320	PLOD1	16	25.0	64.0
NM_000302	PLOD1	16	25.0	64.0
NM_001127660	MFN2	53	57.0	92.98245614035088
NM_014874	MFN2	53	57.0	92.98245614035088
NM_015378	VPS13D	7	7.0	100.0
NM_018156	VPS13D	7	7.0	100.0
NM_007272	CTRC	5	8.0	62.5
NM_033440	CELA2A	3	4.0	75.0
NM_004070	CLCNKA	2	2.0	100.0
NM_001042704	CLCNKA	2	2.0	100.0
NM_001257139	CLCNKA	2	2.0	100.0
NM_000085	CLCNKB	10	15.0	66.66666666666666
NM_001165945	CLCNKB	9	15.0	60.0
NM_001329090	EPHA2	3	5.0	60.0
NM_004431	EPHA2	3	5.0	60.0
NM_001141974	ATP13A2	13	15.0	86.66666666666667
NM_001141973	ATP13A2	14	15.0	93.33333333333333
NM_022089	ATP13A2	14	15.0	93.33333333333333
NM_003000	SDHB	94	117.0	80.34188034188034
NM_016233	PADI3	8	9.0	88.88888888888889
NM_207421	PADI6	5	5.0	100.0
NR_137287	ARHGEF10L	1	1.0	100.0
NR_137288	ARHGEF10L	1	1.0	100.0
NM_018125	ARHGEF10L	1	1.0	100.0
NM_001011722	ARHGEF10L	1	1.0	100.0
NM_001319837	ARHGEF10L	1	1.0	100.0
NM_001319838	ARHGEF10L	1	1.0	100.0
NM_001328124	ARHGEF10L	1	1.0	100.0
NM_001135254	PAX7	3	3.0	100.0
NM_002584	PAX7	3	3.0	100.0
NM_013945	PAX7	3	3.0	100.0
NM_001319218	ALDH4A1	2	3.0	66.66666666666666
NM_170726	ALDH4A1	2	3.0	66.66666666666666
